Date,Open,High,Low,Close,Volume,,,,,,,
28/7/2000,100,100,100,100,4,200,,,,,,
31/7/2000,101.5,101.5,101.5,101.5,10,300,,,,,,
2/8/2000,103.4,103.4,103.4,103.4,300,,,,,,,
4/8/2000,105.2,105.2,105.2,105.2,3,800,,,,,,
7/8/2000,106.9,106.9,106.9,106.9,13,200,,,,,,
9/8/2000,108.6,108.6,108.6,108.6,15,930,,,,,,
11/8/2000,110.4,110.4,110.4,110.4,13,600,,,,,,
14/8/2000,112.1,112.1,112.1,112.1,11,700,,,,,,
16/8/2000,113.8,113.8,113.8,113.8,23,0,,,,,,
18/8/2000,115.5,115.5,115.5,115.5,10,400,,,,,,
21/8/2000,117.2,117.2,117.2,117.2,35,500,,,,,,
23/8/2000,119,119,119,119,111,400,,,,,,
25/8/2000,118.8,118.8,118.8,118.8,95,220,,,,,,
28/8/2000,117,117,117,117,97,920,,,,,,
30/8/2000,115.2,115.2,115.2,115.2,126,510,,,,,,
1/9/2000,113.4,113.4,113.4,113.4,96,600,,,,,,
6/9/2000,112.5,112.5,112.5,112.5,60,900,,,,,,
8/9/2000,112.4,112.4,112.4,112.4,49,500,,,,,,
11/9/2000,114.1,114.1,114.1,114.1,31,300,,,,,,
13/9/2000,116.1,116.1,116.1,116.1,18,400,,,,,,
15/9/2000,118,118,118,118,45,900,,,,,,
18/9/2000,118.2,118.2,118.2,118.2,64,600,,,,,,
20/9/2000,118.2,118.2,118.2,118.2,41,600,,,,,,
22/9/2000,118.8,118.8,118.8,118.8,66,900,,,,,,
25/9/2000,119,119,119,119,56,600,,,,,,
27/9/2000,119.7,119.7,119.7,119.7,56,610,,,,,,
29/9/2000,120.7,120.7,120.7,120.7,52,800,,,,,,
2/10/2000,120.9,120.9,120.9,120.9,48,600,,,,,,
4/10/2000,121.1,121.1,121.1,121.1,58,400,,,,,,
6/10/2000,122.2,122.2,122.2,122.2,39,600,,,,,,
9/10/2000,124.3,124.3,124.3,124.3,25,900,,,,,,
11/10/2000,126.5,126.5,126.5,126.5,53,300,,,,,,
13/10/2000,128.6,128.6,128.6,128.6,51,900,,,,,,
16/10/2000,130.7,130.7,130.7,130.7,26,600,,,,,,
18/10/2000,132.8,132.8,132.8,132.8,25,700,,,,,,
20/10/2000,135,135,135,135,65,900,,,,,,
23/10/2000,136.6,136.6,136.6,136.6,39,100,,,,,,
25/10/2000,137.1,137.1,137.1,137.1,45,0,,,,,,
27/10/2000,139.6,139.6,139.6,139.6,88,200,,,,,,
30/10/2000,140.8,140.8,140.8,140.8,101,200,,,,,,
1/11/2000,143.3,143.3,143.3,143.3,95,900,,,,,,
3/11/2000,145.8,145.8,145.8,145.8,78,800,,,,,,
6/11/2000,148.6,148.6,148.6,148.6,55,300,,,,,,
8/11/2000,151.3,151.3,151.3,151.3,29,200,,,,,,
10/11/2000,154.1,154.1,154.1,154.1,57,300,,,,,,
13/11/2000,156.8,156.8,156.8,156.8,21,700,,,,,,
15/11/2000,159.6,159.6,159.6,159.6,13,400,,,,,,
17/11/2000,162.4,162.4,162.4,162.4,35,350,,,,,,
20/11/2000,165.7,165.7,165.7,165.7,63,910,,,,,,
22/11/2000,165.5,165.5,165.5,165.5,136,700,,,,,,
24/11/2000,166.2,166.2,166.2,166.2,117,420,,,,,,
27/11/2000,165.6,165.6,165.6,165.6,90,400,,,,,,
29/11/2000,168.7,168.7,168.7,168.7,76,800,,,,,,
1/12/2000,171.9,171.9,171.9,171.9,43,300,,,,,,
4/12/2000,175,175,175,175,28,500,,,,,,
6/12/2000,178.1,178.1,178.1,178.1,60,200,,,,,,
8/12/2000,181.3,181.3,181.3,181.3,188,420,,,,,,
11/12/2000,189.9,189.9,189.9,189.9,125,400,,,,,,
13/12/2000,184.5,184.5,184.5,184.5,106,0,,,,,,
15/12/2000,187.6,187.6,187.6,187.6,49,300,,,,,,
18/12/2000,191.1,191.1,191.1,191.1,82,200,,,,,,
20/12/2000,194.8,194.8,194.8,194.8,39,400,,,,,,
22/12/2000,198.6,198.6,198.6,198.6,61,300,,,,,,
25/12/2000,202.3,202.3,202.3,202.3,21,100,,,,,,
27/12/2000,203.1,203.1,203.1,203.1,41,250,,,,,,
29/12/2000,206.8,206.8,206.8,206.8,60,150,,,,,,
3/1/2001,210.6,210.6,210.6,210.6,43,600,,,,,,
5/1/2001,214.3,214.3,214.3,214.3,50,400,,,,,,
8/1/2001,218.1,218.1,218.1,218.1,71,700,,,,,,
10/1/2001,222.2,222.2,222.2,222.2,184,400,,,,,,
12/1/2001,225.7,225.7,225.7,225.7,224,0,,,,,,
15/1/2001,228.3,228.3,228.3,228.3,123,200,,,,,,
17/1/2001,232.7,232.7,232.7,232.7,88,120,,,,,,
19/1/2001,237,237,237,237,42,920,,,,,,
29/1/2001,241.4,241.4,241.4,241.4,9,50,,,,,,
31/1/2001,245.8,245.8,245.8,245.8,6,700,,,,,,
2/2/2001,250.2,250.2,250.2,250.2,24,500,,,,,,
5/2/2001,255,255,255,255,2,650,,,,,,
7/2/2001,259.9,259.9,259.9,259.9,8,800,,,,,,
9/2/2001,260.1,260.1,260.1,260.1,315,450,,,,,,
12/2/2001,256.2,256.2,256.2,256.2,130,600,,,,,,
14/2/2001,252.2,252.2,252.2,252.2,78,280,,,,,,
16/2/2001,249,249,249,249,43,570,,,,,,
19/2/2001,246,246,246,246,34,900,,,,,,
21/2/2001,246.8,246.8,246.8,246.8,240,100,,,,,,
23/2/2001,251.2,251.2,251.2,251.2,155,300,,,,,,
26/2/2001,255.6,255.6,255.6,255.6,97,130,,,,,,
28/2/2001,252.4,252.4,252.4,252.4,293,400,,,,,,
2/3/2001,253.6,253.6,253.6,253.6,207,610,,,,,,
5/3/2001,250.7,250.7,250.7,250.7,165,700,,,,,,
7/3/2001,248.1,248.1,248.1,248.1,202,900,,,,,,
9/3/2001,252.6,252.6,252.6,252.6,118,320,,,,,,
12/3/2001,256,256,256,256,122,200,,,,,,
14/3/2001,257.7,257.7,257.7,257.7,143,900,,,,,,
16/3/2001,258.5,258.5,258.5,258.5,102,470,,,,,,
19/3/2001,260.3,260.3,260.3,260.3,179,700,,,,,,
21/3/2001,261.1,261.1,261.1,261.1,83,750,,,,,,
23/3/2001,259.6,259.6,259.6,259.6,134,900,,,,,,
26/3/2001,260.1,260.1,260.1,260.1,76,400,,,,,,
28/3/2001,264.7,264.7,264.7,264.7,88,900,,,,,,
30/3/2001,269.3,269.3,269.3,269.3,44,100,,,,,,
2/4/2001,274.4,274.4,274.4,274.4,139,700,,,,,,
4/4/2001,279.6,279.6,279.6,279.6,56,510,,,,,,
6/4/2001,284.7,284.7,284.7,284.7,32,610,,,,,,
9/4/2001,289.8,289.8,289.8,289.8,146,700,,,,,,
11/4/2001,295.1,295.1,295.1,295.1,98,460,,,,,,
13/4/2001,300.4,300.4,300.4,300.4,67,800,,,,,,
16/4/2001,306.2,306.2,306.2,306.2,43,800,,,,,,
18/4/2001,312,312,312,312,61,0,,,,,,
20/4/2001,317.8,317.8,317.8,317.8,123,200,,,,,,
23/4/2001,313.7,313.7,313.7,313.7,321,600,,,,,,
25/4/2001,315.3,315.3,315.3,315.3,417,300,,,,,,
27/4/2001,321.1,321.1,321.1,321.1,49,600,,,,,,
2/5/2001,327.1,327.1,327.1,327.1,43,770,,,,,,
4/5/2001,332,332,332,332,115,100,,,,,,
7/5/2001,338.4,338.4,338.4,338.4,64,500,,,,,,
