mu,omega,alpha[1],beta[1]
0.04863239455006389,0.03407475075148898,0.15622740517405295,0.8393443976668326
0.05108759311161651,0.04299555611306235,0.19879461945054927,0.7951708302302805
0.052691069684338857,0.03622355057748754,0.16120837603119478,0.8328989088929779
0.08402282356700988,0.027732265922145845,0.1576839919115887,0.8350846001102751
0.04973230275133161,0.032429959472854646,0.15314905848260227,0.838525708900397
0.05607908024104657,0.03716442281718825,0.16147265993437293,0.8274201665144563
0.061856752082190505,0.03550009109223919,0.16927892662378113,0.825787223879908
0.07250517466676404,0.03629495414459728,0.14537765003894076,0.8377701557038122
0.05477296015474385,0.03851822435121012,0.1718364643359181,0.8247948404453985
0.06948817202246482,0.03282519258083785,0.15719644027968596,0.8359031882407206
0.06506962813622988,0.02714155896354273,0.1500194287551466,0.8484558598991424
0.06507688024327908,0.03473058143021754,0.191058628742779,0.8066665247037985
0.06589526719871909,0.04179086404110157,0.19412087466128677,0.8032254065668164
0.07690645434289134,0.035908652321541785,0.17967001324533446,0.8191281729472755
0.07007251286607039,0.03404061315349736,0.16756436062179272,0.8250405745106674
0.0536645237478882,0.02422644120612863,0.156132711137665,0.8427937263483033
0.07190864291568325,0.028528826499089107,0.15079091376753906,0.8429979916428214
0.05412080666434764,0.03899296717157191,0.1851022239809622,0.8058123706701661
0.035713014536290236,0.02870051980415418,0.14739357903630018,0.8479596388736248
0.044502833515932816,0.03398304079004001,0.17399601821552163,0.8204761150464179
0.0662536011185827,0.035423960878268636,0.15152347030086277,0.8353140516539297
0.06964635568364182,0.028692407409514332,0.13955375625005495,0.8457568266546495
0.05274788620389882,0.029525512879159915,0.17526286538578034,0.8197859882403156
0.07951750911724975,0.04164732720622895,0.15181964430484865,0.8430098654159578
0.06499792805919552,0.019144388985226232,0.14257385718136134,0.8538177224206371
0.08104551782545422,0.02177492531708109,0.16030501647468723,0.8376778147226668
0.058159395361653286,0.04574556547610139,0.17109255153135866,0.809235838461188
0.04921980189756194,0.030478641532101572,0.1448351396820449,0.8482242014913676
0.08931824586819545,0.022694467108656146,0.15143149514157636,0.8425011530123733
0.0975263390891763,0.04395897569591803,0.1791007708664888,0.8070015416745008
0.05755921352934824,0.024989069588032466,0.1512598547713689,0.8463105774954683
0.07108457512799139,0.03502605146620415,0.2025341835261913,0.7955306832357137
0.06361229298441927,0.03725430168190316,0.17366953783147326,0.8132242060707469
0.08566754996391684,0.02144948767012932,0.15171397798029537,0.846058124978837
0.07054082039592748,0.028830185935455565,0.16466146677691124,0.8285817823564922
0.07056094245616028,0.04478690327276642,0.15283828635677316,0.8348017453476942
0.05837218102153641,0.02337076454841171,0.15403122402219424,0.8403911150618477
0.06245212661699158,0.030898453214127146,0.16579444121067366,0.8284694733259128
0.08085308702781974,0.025894150410625923,0.15325233091211277,0.8456075742216971
0.10065206045520692,0.035584239208115966,0.15682027422847855,0.8331625692749663
0.050948551314527475,0.0419987854873029,0.17310270563473146,0.8166890574960081
0.036791130961852644,0.034016041845399414,0.15219921838024658,0.84038538998229
0.061922054695383116,0.0379477692789735,0.18261211467388336,0.8126814464701886
0.03621676494379179,0.024111107383308548,0.12841080350852335,0.8630486634417504
0.09255056287162669,0.029801456237636005,0.14640160550685266,0.8465737547158078
0.06790883274431962,0.021106942303727897,0.12669124032082676,0.8662478136828721
0.054861038088263904,0.03249143886229192,0.15652871279247788,0.8307789223546332
0.06099047440576909,0.0317810896516721,0.14474342786224956,0.8482930861750416
0.06195371899800739,0.04612949245471651,0.17924501709086416,0.8097254996172654
0.05172787221217916,0.03256824198303231,0.17483315309529243,0.8178860458659716
0.07359739536798998,0.03986498864677583,0.1708600777901991,0.8211462610136668
0.07803106472634262,0.043918169543958115,0.20491272577018793,0.7924363845287506
0.09483715134883382,0.0401883273576433,0.1902539973085527,0.8076913861121668
0.08129938937918957,0.037380458973454884,0.1684914973498697,0.8232383953914197
0.07295447326041828,0.032625904155813346,0.15977585899310098,0.8283212322043151
0.035002756486492245,0.04062995609396017,0.16090621871472865,0.8237640301410898
0.058367441621053874,0.043286734935444604,0.1917427014815495,0.8033949353040463
0.07511656180922517,0.03512481176429392,0.16839579135876553,0.8252803790148168
0.06744059858507011,0.025246741391222974,0.14562903760467263,0.8471721080959155
0.0699973315893363,0.03331692874971747,0.1620551986301726,0.8291998276453234
0.05046584440628706,0.03096735394522734,0.2037620004341431,0.7942326033665917
0.05180399079061718,0.023519180730228444,0.1625068642783319,0.834082456683733
0.06340241684358378,0.04232509466454799,0.17833200936415747,0.8189735922461155
0.03724031525343905,0.036044781498003615,0.16208605414057545,0.8266624303176647
0.04367875859519954,0.038120429964989225,0.1654454208758558,0.8233319574728506
0.04910796107147269,0.024958094732831938,0.1424352181670511,0.8534023719226884
0.04712327915779743,0.024315213601713077,0.14142432282137896,0.8530572859236332
0.07005345369349587,0.03301612907733897,0.16491129505848917,0.8277509532996868
0.07980489316340379,0.03968582510926551,0.17385939056135954,0.8179141528058202
0.06752807475273513,0.061911650765554965,0.20799874402746,0.7731992934430583
0.06460734297735905,0.033151910944870355,0.1582612238390659,0.8355618081447812
0.053268096073141966,0.03334243406568285,0.14954885394772605,0.8477003740260333
0.05524704247117326,0.04292640438895544,0.17550780082671769,0.8118879160362613
0.0550851814404985,0.028610806060385463,0.13154134694080682,0.857946607926033
0.09009158529484941,0.02133466404244255,0.15721916900927618,0.8410648349503107
0.05798630533235836,0.04155566241030273,0.19322651825388282,0.8008455085244752
0.06418360068161302,0.029860964026440204,0.16551555274826119,0.8275441967775707
0.07459977654195706,0.026506591056087735,0.14851669376113702,0.8494570102336595
0.0977065029271478,0.02306095590407535,0.1557974318098529,0.8430135707208549
0.07150540533147234,0.027652579487971885,0.1627281061010058,0.8325014892117303
0.07491320309125454,0.020064177537946093,0.14564261799932687,0.8521980358340687
0.05062208087529711,0.026771985710456633,0.1561455342681356,0.8355000652800498
0.054630120308028496,0.042041481733144044,0.20789056906951597,0.7861893427342642
0.08062818222424442,0.028979426467618842,0.16845677837062478,0.8222938275789318
0.05555319516556311,0.0320305105431851,0.14771238807777926,0.8398634445707185
0.07699319111713832,0.036938302339789245,0.17149689979477084,0.8227059510057391
0.07711260735328156,0.030473878937031428,0.1904076914394031,0.807918226257782
0.06790063288574592,0.03183062856113906,0.16902250911384928,0.824833819277833
0.03121342513452203,0.05199023045651162,0.18045686462140728,0.8129506725587754
0.03585890169562423,0.031887147390050156,0.17287705310040172,0.8247034132474761
0.04889044840785148,0.03561284186608877,0.16553687513080115,0.8294499546984985
0.0827683521885594,0.048486393065966985,0.18125344965019913,0.8031957750826376
0.06485930411884351,0.031241887687096903,0.1643471251694908,0.8236872636462983
0.05994293917899647,0.03786396238943487,0.15215176334518618,0.8330097260343151
0.043244039120250974,0.023590463878367093,0.13117155790202983,0.864357865573832
0.07201370112797574,0.039896935847758046,0.1731359309244071,0.8153196885235778
0.026640373228363483,0.040374347547470144,0.17162011506126926,0.8201720868770144
0.047351996675195324,0.04023814690686929,0.17399036221178402,0.8183047215638305
0.06542726368331576,0.015006847772680064,0.11703833795365651,0.879594006390377
0.07396930508182313,0.028523007649912897,0.14144213323159804,0.8475120532618539
0.06002196381131993,0.03917487860181512,0.16989520319413157,0.8270181679373735
0.06064662135557705,0.03351078605966343,0.170025566710775,0.8244526313319809
